"year_month,""month_of_release"",""passenger_type"",""direction"",""sex"",""age"",""estimate"",""standard_error"",""status"""
"2020-02,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""40-44 years"",496,13,""Provisional"""
"2020-03,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""40-44 years"",446,15,""Provisional"""
"2020-04,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""40-44 years"",36,4,""Provisional"""
"2020-05,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""40-44 years"",35,4,""Provisional"""
"2020-06,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""40-44 years"",66,6,""Provisional"""
"2020-07,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""40-44 years"",78,7,""Provisional"""
"2020-08,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""40-44 years"",95,8,""Provisional"""
"2020-09,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""40-44 years"",86,8,""Provisional"""
"2019-05,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""40-44 years"",410,0,""Final"""
"2019-06,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""40-44 years"",465,0,""Provisional"""
"2019-07,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""40-44 years"",477,2,""Provisional"""
"2019-08,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""40-44 years"",541,5,""Provisional"""
"2019-09,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""40-44 years"",530,6,""Provisional"""
"2019-10,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""40-44 years"",637,11,""Provisional"""
"2019-11,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""40-44 years"",698,20,""Provisional"""
"2019-12,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""40-44 years"",621,14,""Provisional"""
"2020-01,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""40-44 years"",695,17,""Provisional"""
"2020-02,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""40-44 years"",731,25,""Provisional"""
"2020-03,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""40-44 years"",625,25,""Provisional"""
"2020-04,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""40-44 years"",32,4,""Provisional"""
"2020-05,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""40-44 years"",40,4,""Provisional"""
"2020-06,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""40-44 years"",69,6,""Provisional"""
"2020-07,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""40-44 years"",83,7,""Provisional"""
"2020-08,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""40-44 years"",119,10,""Provisional"""
"2020-09,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""40-44 years"",119,10,""Provisional"""
"2019-05,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""45-49 years"",164,0,""Final"""
"2019-06,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""45-49 years"",225,0,""Provisional"""
"2019-07,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""45-49 years"",253,2,""Provisional"""
"2019-08,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""45-49 years"",272,3,""Provisional"""
"2019-09,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""45-49 years"",272,4,""Provisional"""
"2019-10,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""45-49 years"",294,6,""Provisional"""
"2019-11,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""45-49 years"",320,10,""Provisional"""
"2019-12,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""45-49 years"",458,13,""Provisional"""
"2020-01,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""45-49 years"",463,15,""Provisional"""
"2020-02,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""45-49 years"",360,14,""Provisional"""
"2020-03,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""45-49 years"",374,16,""Provisional"""
"2020-04,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""45-49 years"",31,4,""Provisional"""
"2020-05,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""45-49 years"",31,4,""Provisional"""
"2020-06,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""45-49 years"",54,5,""Provisional"""
"2020-07,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""45-49 years"",77,7,""Provisional"""
"2020-08,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""45-49 years"",76,7,""Provisional"""
"2020-09,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""45-49 years"",77,8,""Provisional"""
"2019-05,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""45-49 years"",272,0,""Final"""
"2019-06,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""45-49 years"",285,0,""Provisional"""
"2019-07,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""45-49 years"",296,2,""Provisional"""
"2019-08,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""45-49 years"",368,6,""Provisional"""
"2019-09,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""45-49 years"",392,6,""Provisional"""
"2019-10,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""45-49 years"",446,12,""Provisional"""
"2019-11,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""45-49 years"",506,15,""Provisional"""
"2019-12,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""45-49 years"",460,14,""Provisional"""
"2020-01,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""45-49 years"",546,16,""Provisional"""
"2020-02,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""45-49 years"",444,17,""Provisional"""
"2020-03,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""45-49 years"",499,21,""Provisional"""
"2020-04,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""45-49 years"",38,4,""Provisional"""
"2020-05,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""45-49 years"",43,5,""Provisional"""
"2020-06,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""45-49 years"",52,5,""Provisional"""
"2020-07,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""45-49 years"",80,7,""Provisional"""
"2020-08,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""45-49 years"",101,9,""Provisional"""
"2020-09,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""45-49 years"",99,10,""Provisional"""
"2019-05,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""5-9 years"",272,0,""Final"""
"2019-06,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""5-9 years"",328,0,""Provisional"""
"2019-07,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""5-9 years"",460,1,""Provisional"""
"2019-08,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""5-9 years"",394,1,""Provisional"""
"2019-09,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""5-9 years"",380,3,""Provisional"""
"2019-10,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""5-9 years"",318,3,""Provisional"""
"2019-11,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""5-9 years"",333,6,""Provisional"""
"2019-12,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""5-9 years"",586,11,""Provisional"""
"2020-01,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""5-9 years"",648,15,""Provisional"""
"2020-02,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""5-9 years"",417,10,""Provisional"""
"2020-03,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""5-9 years"",380,12,""Provisional"""
"2020-04,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""5-9 years"",25,3,""Provisional"""
"2020-05,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""5-9 years"",32,3,""Provisional"""
"2020-06,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""5-9 years"",70,5,""Provisional"""
"2020-07,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""5-9 years"",84,7,""Provisional"""
"2020-08,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""5-9 years"",129,9,""Provisional"""
"2020-09,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""5-9 years"",129,10,""Provisional"""
"2019-05,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""5-9 years"",252,0,""Final"""
"2019-06,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""5-9 years"",286,0,""Provisional"""
"2019-07,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""5-9 years"",418,1,""Provisional"""
"2019-08,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""5-9 years"",411,2,""Provisional"""
"2019-09,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""5-9 years"",378,3,""Provisional"""
"2019-10,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""5-9 years"",331,3,""Provisional"""
"2019-11,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""5-9 years"",366,6,""Provisional"""
"2019-12,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""5-9 years"",649,14,""Provisional"""
"2020-01,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""5-9 years"",655,15,""Provisional"""
"2020-02,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""5-9 years"",463,11,""Provisional"""
"2020-03,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""5-9 years"",391,11,""Provisional"""
"2020-04,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""5-9 years"",21,3,""Provisional"""
"2020-05,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""5-9 years"",46,4,""Provisional"""
"2020-06,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""5-9 years"",69,5,""Provisional"""
"2020-07,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""5-9 years"",96,6,""Provisional"""
"2020-08,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""5-9 years"",125,9,""Provisional"""
"2020-09,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""5-9 years"",128,11,""Provisional"""
"2019-05,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""50-54 years"",168,0,""Final"""
"2019-06,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""50-54 years"",174,0,""Provisional"""
"2019-07,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""50-54 years"",214,2,""Provisional"""
"2019-08,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""50-54 years"",250,4,""Provisional"""
"2019-09,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""50-54 years"",264,5,""Provisional"""
"2019-10,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""50-54 years"",309,6,""Provisional"""
"2019-11,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""50-54 years"",366,14,""Provisional"""
"2019-12,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""50-54 years"",440,17,""Provisional"""
"2020-01,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""50-54 years"",387,17,""Provisional"""
"2020-02,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""50-54 years"",341,18,""Provisional"""
"2020-03,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""50-54 years"",336,19,""Provisional"""
"2020-04,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""50-54 years"",25,4,""Provisional"""
"2020-05,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""50-54 years"",28,4,""Provisional"""
"2020-06,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""50-54 years"",37,5,""Provisional"""
"2020-07,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""50-54 years"",54,6,""Provisional"""
"2020-08,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""50-54 years"",63,8,""Provisional"""
"2020-09,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""50-54 years"",60,8,""Provisional"""
"2019-05,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""50-54 years"",198,0,""Final"""
"2019-06,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""50-54 years"",189,0,""Provisional"""
"2019-07,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""50-54 years"",209,2,""Provisional"""
"2019-08,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""50-54 years"",245,5,""Provisional"""
"2019-09,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""50-54 years"",278,7,""Provisional"""
"2019-10,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""50-54 years"",328,9,""Provisional"""
"2019-11,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""50-54 years"",408,14,""Provisional"""
"2019-12,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""50-54 years"",396,14,""Provisional"""
"2020-01,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""50-54 years"",364,13,""Provisional"""
"2020-02,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""50-54 years"",361,16,""Provisional"""
"2020-03,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""50-54 years"",380,19,""Provisional"""
"2020-04,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""50-54 years"",39,5,""Provisional"""
"2020-05,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""50-54 years"",31,4,""Provisional"""
"2020-06,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""50-54 years"",46,5,""Provisional"""
"2020-07,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""50-54 years"",63,7,""Provisional"""
"2020-08,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""50-54 years"",75,8,""Provisional"""
"2020-09,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""50-54 years"",72,8,""Provisional"""
"2019-05,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""55-59 years"",200,0,""Final"""
"2019-06,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""55-59 years"",203,0,""Provisional"""
"2019-07,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""55-59 years"",226,2,""Provisional"""
"2019-08,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""55-59 years"",274,4,""Provisional"""
"2019-09,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""55-59 years"",288,6,""Provisional"""
"2019-10,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""55-59 years"",410,8,""Provisional"""
"2019-11,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""55-59 years"",494,21,""Provisional"""
"2019-12,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""55-59 years"",546,27,""Provisional"""
"2020-01,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""55-59 years"",350,20,""Provisional"""
"2020-02,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""55-59 years"",398,25,""Provisional"""
"2020-03,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""55-59 years"",354,21,""Provisional"""
"2020-04,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""55-59 years"",26,4,""Provisional"""
"2020-05,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""55-59 years"",31,4,""Provisional"""
"2020-06,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""55-59 years"",44,6,""Provisional"""
"2020-07,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""55-59 years"",54,7,""Provisional"""
"2020-08,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""55-59 years"",54,7,""Provisional"""
"2020-09,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""55-59 years"",45,7,""Provisional"""
"2019-05,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""55-59 years"",151,0,""Final"""
"2019-06,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""55-59 years"",140,0,""Provisional"""
"2019-07,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""55-59 years"",176,2,""Provisional"""
"2019-08,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""55-59 years"",188,4,""Provisional"""
"2019-09,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""55-59 years"",282,7,""Provisional"""
"2019-10,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""55-59 years"",318,10,""Provisional"""
"2019-11,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""55-59 years"",401,15,""Provisional"""
"2019-12,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""55-59 years"",430,18,""Provisional"""
"2020-01,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""55-59 years"",328,16,""Provisional"""
"2020-02,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""55-59 years"",327,17,""Provisional"""
"2020-03,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""55-59 years"",336,20,""Provisional"""
"2020-04,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""55-59 years"",27,4,""Provisional"""
"2020-05,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""55-59 years"",26,4,""Provisional"""
"2020-06,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""55-59 years"",34,5,""Provisional"""
"2020-07,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""55-59 years"",54,7,""Provisional"""
"2020-08,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""55-59 years"",57,7,""Provisional"""
"2020-09,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""55-59 years"",57,8,""Provisional"""
"2019-05,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""60-64 years"",217,0,""Final"""
"2019-06,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""60-64 years"",230,0,""Provisional"""
"2019-07,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""60-64 years"",178,1,""Provisional"""
"2019-08,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""60-64 years"",278,4,""Provisional"""
"2019-09,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""60-64 years"",307,5,""Provisional"""
"2019-10,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""60-64 years"",405,7,""Provisional"""
"2019-11,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""60-64 years"",527,22,""Provisional"""
"2019-12,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""60-64 years"",546,32,""Provisional"""
"2020-01,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""60-64 years"",351,22,""Provisional"""
"2020-02,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""60-64 years"",351,23,""Provisional"""
"2020-03,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""60-64 years"",303,21,""Provisional"""
"2020-04,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""60-64 years"",17,3,""Provisional"""
"2020-05,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""60-64 years"",30,4,""Provisional"""
"2020-06,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""60-64 years"",38,5,""Provisional"""
"2020-07,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""60-64 years"",47,7,""Provisional"""
"2020-08,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""60-64 years"",55,8,""Provisional"""
"2020-09,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""60-64 years"",34,7,""Provisional"""
"2019-05,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""60-64 years"",170,0,""Final"""
"2019-06,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""60-64 years"",195,0,""Provisional"""
"2019-07,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""60-64 years"",174,2,""Provisional"""
"2019-08,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""60-64 years"",229,5,""Provisional"""
"2019-09,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""60-64 years"",246,7,""Provisional"""
"2019-10,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""60-64 years"",354,9,""Provisional"""
"2019-11,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""60-64 years"",468,18,""Provisional"""
"2019-12,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""60-64 years"",459,22,""Provisional"""
"2020-01,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""60-64 years"",287,17,""Provisional"""
"2020-02,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""60-64 years"",323,20,""Provisional"""
"2020-03,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""60-64 years"",299,21,""Provisional"""
"2020-04,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""60-64 years"",27,4,""Provisional"""
"2020-05,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""60-64 years"",28,5,""Provisional"""
"2020-06,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""60-64 years"",41,6,""Provisional"""
"2020-07,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""60-64 years"",37,6,""Provisional"""
"2020-08,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""60-64 years"",51,7,""Provisional"""
"2020-09,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""60-64 years"",37,7,""Provisional"""
"2019-05,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""65-69 years"",123,0,""Final"""
"2019-06,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""65-69 years"",126,0,""Provisional"""
"2019-07,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""65-69 years"",116,1,""Provisional"""
"2019-08,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""65-69 years"",169,3,""Provisional"""
"2019-09,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""65-69 years"",244,5,""Provisional"""
"2019-10,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""65-69 years"",316,7,""Provisional"""
"2019-11,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""65-69 years"",423,21,""Provisional"""
"2019-12,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""65-69 years"",411,25,""Provisional"""
"2020-01,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""65-69 years"",263,22,""Provisional"""
"2020-02,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""65-69 years"",283,22,""Provisional"""
"2020-03,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""65-69 years"",222,19,""Provisional"""
"2020-04,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""65-69 years"",10,2,""Provisional"""
"2020-05,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""65-69 years"",18,3,""Provisional"""
"2020-06,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""65-69 years"",27,5,""Provisional"""
"2020-07,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""65-69 years"",22,4,""Provisional"""
"2020-08,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""65-69 years"",31,6,""Provisional"""
"2020-09,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""65-69 years"",22,6,""Provisional"""
"2019-05,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""65-69 years"",134,0,""Final"""
"2019-06,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""65-69 years"",153,0,""Provisional"""
"2019-07,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""65-69 years"",118,2,""Provisional"""
"2019-08,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""65-69 years"",187,4,""Provisional"""
"2019-09,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""65-69 years"",232,6,""Provisional"""
"2019-10,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""65-69 years"",323,7,""Provisional"""
"2019-11,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""65-69 years"",386,17,""Provisional"""
"2019-12,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""65-69 years"",375,21,""Provisional"""
"2020-01,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""65-69 years"",246,19,""Provisional"""
"2020-02,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""65-69 years"",251,18,""Provisional"""
"2020-03,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""65-69 years"",257,20,""Provisional"""
"2020-04,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""65-69 years"",16,3,""Provisional"""
"2020-05,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""65-69 years"",27,4,""Provisional"""
"2020-06,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""65-69 years"",25,5,""Provisional"""
"2020-07,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""65-69 years"",33,6,""Provisional"""
"2020-08,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""65-69 years"",33,6,""Provisional"""
"2020-09,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""65-69 years"",22,5,""Provisional"""
"2019-05,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""70-74 years"",47,0,""Final"""
"2019-06,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""70-74 years"",52,0,""Provisional"""
"2019-07,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""70-74 years"",59,1,""Provisional"""
"2019-08,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""70-74 years"",99,2,""Provisional"""
"2019-09,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""70-74 years"",110,3,""Provisional"""
"2019-10,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""70-74 years"",162,4,""Provisional"""
"2019-11,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""70-74 years"",267,13,""Provisional"""
"2019-12,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""70-74 years"",210,17,""Provisional"""
"2020-01,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""70-74 years"",166,16,""Provisional"""
"2020-02,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""70-74 years"",183,18,""Provisional"""
"2020-03,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""70-74 years"",125,13,""Provisional"""
"2020-04,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""70-74 years"",5,2,""Provisional"""
"2020-05,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""70-74 years"",7,2,""Provisional"""
"2020-06,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""70-74 years"",10,3,""Provisional"""
"2020-07,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""70-74 years"",8,3,""Provisional"""
"2020-08,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""70-74 years"",14,3,""Provisional"""
"2020-09,""2020-09"",""Long-term migrant"",""Arrivals"",""Female"",""70-74 years"",9,3,""Provisional"""
"2019-05,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""70-74 years"",63,0,""Final"""
"2019-06,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""70-74 years"",54,0,""Provisional"""
"2019-07,""2020-09"",""Long-term migrant"",""Arrivals"",""Male"",""70-74 years"",60,1,""Provisional"""
